car;modelo del año;country;kilometraje;no_of_cylinders;Desplazamiento;hp;weight;acelerar;price;Class;model_year;mileage;displacement;hp2;weight2;acceleration;price2
chevrolet chevelle malibu;1970;USA;18;8;307;130;3504;12;59078;vgood;70;low;medium;weak;heavy;med;vgood
buick skylark 320;1970;USA;15;8;350;165;3693;11.5;42273;vgood;70;low;medium;weak;heavy;med;vgood
plymouth satellite;1970;USA;18;8;318;150;3436;11;84373;vgood;70;low;medium;weak;heavy;med;vgood
amc rebel sst;1970;USA;16;8;304;150;3433;12;96888;vgood;70;low;medium;weak;heavy;med;vgood
ford torino;1970;USA;17;8;302;140;3449;10.5;20000;good;70;low;medium;weak;heavy;low;good
ford galaxie 500;1970;USA;15;8;429;198;4341;10;30000;vgood;70;low;long;weak;vheavy;low;vgood
chevrolet impala;1970;USA;14;8;454;220;4354;9;3349;acc;70;low;long;medium;vheavy;low;acc
plymouth fury iii;1970;USA;14;8;440;215;4312;8.5;46557;vgood;70;low;long;medium;vheavy;low;vgood
pontiac catalina;1970;USA;14;8;455;225;4425;10;53714;vgood;70;low;long;medium;vheavy;low;vgood
amc ambassador dpl;1970;USA;15;8;390;190;3850;8.5;5928;acc;70;low;medium;weak;heavy;low;acc
dodge challenger se;1970;USA;15;8;383;170;3563;10;30000;vgood;70;low;medium;weak;heavy;low;vgood
plymouth 'cuda 340;1970;USA;14;8;340;160;3609;8;92261;vgood;70;low;medium;weak;heavy;low;vgood
chevrolet monte carlo;1970;USA;15;8;400;150;3761;9.5;30000;vgood;70;low;medium;weak;heavy;low;vgood
buick estate wagon (sw);1970;USA;14;8;455;225;3086;10;32842;vgood;70;low;long;medium;heavy;low;vgood
toyota corona mark ii;1970;Japan;24;4;113;95;2372;15;36927;vgood;70;medium;short;vweak;regular;med;vgood
plymouth duster;1970;USA;22;6;198;95;2833;15.5;12561;good;70;medium;short;vweak;regular;med;good
amc hornet;1970;USA;18;6;199;97;2774;15.5;62236;vgood;70;low;short;vweak;regular;med;vgood
ford maverick;1970;USA;21;6;200;85;2587;16;30388;vgood;70;medium;short;vweak;regular;med;vgood
datsun pl510;1970;Japan;27;4;97;88;2130;14.5;23935;good;70;medium;vshort;vweak;regular;med;good
volkswagen 1131 deluxe sedan;1970;Europe;26;4;97;46;1835;20.5;27471;vgood;70;medium;vshort;vweak;small;med;vgood
peugeot 504;1970;Europe;25;4;110;87;2672;17.5;40000;vgood;70;medium;short;vweak;regular;med;vgood
audi 100 ls;1970;Europe;24;4;107;90;2430;14.5;35897;vgood;70;medium;short;vweak;regular;med;vgood
saab 99e;1970;Europe;25;4;104;95;2375;17.5;16906;good;70;medium;short;vweak;regular;med;good
bmw 2002;1970;Europe;26;4;121;113;2234;12.5;15048;good;70;medium;short;weak;regular;med;good
amc gremlin;1970;USA;21;6;199;90;2648;15;14046;good;70;medium;short;vweak;regular;med;good
ford f250;1970;USA;10;8;360;215;4615;14;25797;vgood;70;vlow;medium;medium;vheavy;med;vgood
chevy c20;1970;USA;10;8;307;200;4376;15;40000;vgood;70;vlow;medium;weak;vheavy;med;vgood
dodge d200;1970;USA;11;8;318;210;4382;13.5;24928;good;70;low;medium;medium;vheavy;med;good
hi 1200d;1970;USA;9;8;304;193;4732;18.5;45073;vgood;70;vlow;medium;weak;vheavy;med;vgood
datsun pl510;1971;Japan;27;4;97;88;2130;14.5;16992;good;70;medium;vshort;vweak;regular;med;good
chevrolet vega 2300;1971;USA;28;4;140;90;2264;15.5;13206;good;70;medium;short;vweak;regular;med;good
toyota corona;1971;Japan;25;4;113;95;2228;14;27079;vgood;70;medium;short;vweak;regular;med;vgood
ford pinto;1971;USA;25;4;98;;2046;19;26417;vgood;70;medium;vshort;vweak;regular;med;vgood
amc gremlin;1971;USA;19;6;232;100;2634;13;30000;vgood;70;low;medium;vweak;regular;med;vgood
plymouth satellite custom;1971;USA;16;6;225;105;3439;15.5;44535;vgood;70;low;medium;weak;heavy;med;vgood
chevrolet chevelle malibu;1971;USA;17;6;250;100;3329;15.5;40000;vgood;70;low;medium;vweak;heavy;med;vgood
ford torino 500;1971;USA;19;6;250;88;3302;15.5;30000;vgood;70;low;medium;vweak;heavy;med;vgood
amc matador;1971;USA;18;6;232;100;3288;15.5;33971;vgood;70;low;medium;vweak;heavy;med;vgood
chevrolet impala;1971;USA;14;8;350;165;4209;12;40000;vgood;70;low;medium;weak;vheavy;med;vgood
pontiac catalina brougham;1971;USA;14;8;400;175;4464;11.5;33794;vgood;70;low;medium;weak;vheavy;med;vgood
ford galaxie 500;1971;USA;14;8;351;153;4154;13.5;30000;vgood;70;low;medium;weak;vheavy;med;vgood
plymouth fury iii;1971;USA;14;8;318;150;4096;13;15359;good;70;low;medium;weak;vheavy;med;good
dodge monaco (sw);1971;USA;12;8;383;180;4955;11.5;23414;good;70;low;medium;weak;vheavy;med;good
ford country squire (sw);1971;USA;13;8;400;170;4746;12;44212;vgood;70;low;medium;weak;vheavy;med;vgood
pontiac safari (sw);1971;USA;13;8;400;175;5140;12;20000;good;70;low;medium;weak;vheavy;med;good
amc hornet sportabout (sw);1971;USA;18;6;258;110;2962;13.5;33328;vgood;70;low;medium;weak;regular;med;vgood
chevrolet vega (sw);1971;USA;22;4;140;72;2408;19;20000;good;70;medium;short;vweak;regular;med;good
pontiac firebird;1971;USA;19;6;250;100;3282;15;20000;good;70;low;medium;vweak;heavy;med;good
ford mustang;1971;USA;18;6;250;88;3139;14.5;40000;vgood;70;low;medium;vweak;heavy;med;vgood
mercury capri 2000;1971;USA;23;4;122;86;2220;14;27435;vgood;70;medium;short;vweak;regular;med;vgood
opel 1900;1971;Europe;28;4;116;90;2123;14;20000;good;70;medium;short;vweak;regular;med;good
peugeot 304;1971;Europe;30;4;79;70;2074;19.5;36587;vgood;70;medium;vshort;vweak;regular;med;vgood
fiat 124b;1971;Europe;30;4;88;76;2065;14.5;23791;good;70;medium;vshort;vweak;regular;med;good
toyota corolla 1200;1971;Japan;31;4;71;65;1773;19;30000;vgood;70;high;vshort;vweak;small;med;vgood
datsun 1200;1971;Japan;35;4;72;69;1613;18;40000;vgood;70;high;vshort;vweak;small;med;vgood
volkswagen model 111;1971;Europe;27;4;97;60;1834;19;30000;vgood;70;medium;vshort;vweak;small;med;vgood
plymouth cricket;1971;USA;26;4;91;70;1955;20.5;40000;vgood;70;medium;vshort;vweak;small;med;vgood
toyota corona hardtop;1972;Japan;24;4;113;95;2278;15.5;40000;vgood;70;medium;short;vweak;regular;med;vgood
dodge colt hardtop;1972;USA;25;4;97.5;80;2126;17;20000;good;70;medium;vshort;vweak;regular;med;good
volkswagen type 3;1972;Europe;23;4;97;54;2254;23.5;26197;vgood;70;medium;vshort;vweak;regular;high;vgood
chevrolet vega;1972;USA;20;4;140;90;2408;19.5;33019;vgood;70;low;short;vweak;regular;med;vgood
ford pinto runabout;1972;USA;21;4;122;86;2226;16.5;36453;vgood;70;medium;short;vweak;regular;med;vgood
chevrolet impala;1972;USA;13;8;350;165;4274;12;40000;vgood;70;low;medium;weak;vheavy;med;vgood
pontiac catalina;1972;USA;14;8;400;175;4385;12;26063;vgood;70;low;medium;weak;vheavy;med;vgood
plymouth fury iii;1972;USA;15;8;318;150;4135;13.5;34664;vgood;70;low;medium;weak;vheavy;med;vgood
ford galaxie 500;1972;USA;14;8;351;153;4129;13;20000;good;70;low;medium;weak;vheavy;med;good
amc ambassador sst;1972;USA;17;8;304;150;3672;11.5;20000;good;70;low;medium;weak;heavy;med;good
mercury marquis;1972;USA;11;8;429;208;4633;11;16223;good;70;low;long;medium;vheavy;med;good
buick lesabre custom;1972;USA;13;8;350;155;4502;13.5;5976;acc;70;low;medium;weak;vheavy;med;acc
oldsmobile delta 88 royale;1972;USA;12;8;350;160;4456;13.5;40000;vgood;70;low;medium;weak;vheavy;med;vgood
chrysler newport royal;1972;USA;13;8;400;190;4422;12.5;33049;vgood;70;low;medium;weak;vheavy;med;vgood
mazda rx2 coupe;1972;Japan;19;3;70;97;2330;13.5;25558;vgood;70;low;vshort;vweak;regular;med;vgood
amc matador (sw);1972;USA;15;8;304;150;3892;12.5;1598;acc;70;low;medium;weak;heavy;med;acc
chevrolet chevelle concours (sw);1972;USA;13;8;307;130;4098;14;20000;good;70;low;medium;weak;vheavy;med;good
ford gran torino (sw);1972;USA;13;8;302;140;4294;16;30000;vgood;70;low;medium;weak;vheavy;med;vgood
plymouth satellite custom (sw);1972;USA;14;8;318;150;4077;14;26694;vgood;70;low;medium;weak;vheavy;med;vgood
volvo 145e (sw);1972;Europe;18;4;121;112;2933;14.5;30000;vgood;70;low;short;weak;regular;med;vgood
volkswagen 411 (sw);1972;Europe;22;4;121;76;2511;18;40000;vgood;70;medium;short;vweak;regular;med;vgood
peugeot 504 (sw);1972;Europe;21;4;120;87;2979;19.5;16035;good;70;medium;short;vweak;regular;med;good
renault 12 (sw);1972;Europe;26;4;96;69;2189;18;44239;vgood;70;medium;vshort;vweak;regular;med;vgood
ford pinto (sw);1972;USA;22;4;122;86;2395;16;20000;good;70;medium;short;vweak;regular;med;good
datsun 510 (sw);1972;Japan;28;4;97;92;2288;17;36557;vgood;70;medium;vshort;vweak;regular;med;vgood
toyouta corona mark ii (sw);1972;Japan;23;4;120;97;2506;14.5;30000;vgood;70;medium;short;vweak;regular;med;vgood
dodge colt (sw);1972;USA;28;4;98;80;2164;15;20000;good;70;medium;vshort;vweak;regular;med;good
toyota corolla 1600 (sw);1972;Japan;27;4;97;88;2100;16.5;35088;vgood;70;medium;vshort;vweak;regular;med;vgood
buick century 350;1973;USA;13;8;350;175;4100;13;20000;good;70;low;medium;weak;vheavy;med;good
amc matador;1973;USA;14;8;304;150;3672;11.5;30000;vgood;70;low;medium;weak;heavy;med;vgood
chevrolet malibu;1973;USA;13;8;350;145;3988;13;24365;good;70;low;medium;weak;heavy;med;good
ford gran torino;1973;USA;14;8;302;137;4042;14.5;50306;vgood;70;low;medium;weak;vheavy;med;vgood
dodge coronet custom;1973;USA;15;8;318;150;3777;12.5;30000;vgood;70;low;medium;weak;heavy;med;vgood
mercury marquis brougham;1973;USA;12;8;429;198;4952;11.5;30000;vgood;70;low;long;weak;vheavy;med;vgood
chevrolet caprice classic;1973;USA;13;8;400;150;4464;12;35052;vgood;70;low;medium;weak;vheavy;med;vgood
ford ltd;1973;USA;13;8;351;158;4363;13;36489;vgood;70;low;medium;weak;vheavy;med;vgood
plymouth fury gran sedan;1973;USA;14;8;318;150;4237;14.5;53746;vgood;70;low;medium;weak;vheavy;med;vgood
chrysler new yorker brougham;1973;USA;13;8;440;215;4735;11;40000;vgood;70;low;long;medium;vheavy;med;vgood
buick electra 225 custom;1973;USA;12;8;455;225;4951;11;26261;vgood;70;low;long;medium;vheavy;med;vgood
amc ambassador brougham;1973;USA;13;8;360;175;3821;11;40000;vgood;70;low;medium;weak;heavy;med;vgood
plymouth valiant;1973;USA;18;6;225;105;3121;16.5;23284;good;70;low;medium;weak;heavy;med;good
chevrolet nova custom;1973;USA;16;6;250;100;3278;18;30000;vgood;70;low;medium;vweak;heavy;med;vgood
amc hornet;1973;USA;18;6;232;100;2945;16;30000;vgood;70;low;medium;vweak;regular;med;vgood
ford maverick;1973;USA;18;6;250;88;3021;16.5;33727;vgood;70;low;medium;vweak;heavy;med;vgood
plymouth duster;1973;USA;23;6;198;95;2904;16;25211;vgood;70;medium;short;vweak;regular;med;vgood
volkswagen super beetle;1973;Europe;26;4;97;46;1950;21;35995;vgood;70;medium;vshort;vweak;small;high;vgood
chevrolet impala;1973;USA;11;8;400;150;4997;14;24794;good;70;low;medium;weak;vheavy;med;good
ford country;1973;USA;12;8;400;167;4906;12.5;20000;good;70;low;medium;weak;vheavy;med;good
plymouth custom suburb;1973;USA;13;8;360;170;4654;13;34079;vgood;70;low;medium;weak;vheavy;med;vgood
oldsmobile vista cruiser;1973;USA;12;8;350;180;4499;12.5;34539;vgood;70;low;medium;weak;vheavy;med;vgood
amc gremlin;1973;USA;18;6;232;100;2789;15;17410;good;70;low;medium;vweak;regular;med;good
