NOM_PROV;NOM_MUN;DESC_NIVEL;DESC_TURNO;NUM_ALUMNOS;CLASS
ALICANTE/ALACANT;AGOST;NIVEL 1;DIURNO;6;Bajo
ALICANTE/ALACANT;AGOST;NIVEL 1;VESPERTINO;1;Bajo
ALICANTE/ALACANT;AGOST;PREP. PRUEBA GES - MÍNIMO;OTROS;3;Bajo
ALICANTE/ALACANT;AGOST;PREP. PRUEBA GES - MÍNIMO;DIURNO;1;Bajo
ALICANTE/ALACANT;AGOST;PREP. PRUEBA GES - MÍNIMO;VESPERTINO;21;Medio
ALICANTE/ALACANT;AGOST;CERT. CONOC. VALENCIANO - A2;VESPERTINO;10;Bajo
ALICANTE/ALACANT;AGOST;CERT. CONOC. VALENCIANO - B2;DIURNO;5;Bajo
ALICANTE/ALACANT;AGOST;CERT. CONOC. VALENCIANO - B2;VESPERTINO;1;Bajo
ALICANTE/ALACANT;AGOST;INGLÉS A1 - 2 HORAS;DIURNO;14;Medio
ALICANTE/ALACANT;AGOST;INGLÉS A1 - 2 HORAS;VESPERTINO;2;Bajo
ALICANTE/ALACANT;AGOST;INGLÉS A2 - 2 HORAS;DIURNO;1;Bajo
ALICANTE/ALACANT;AGOST;INGLÉS A2 - 2 HORAS;VESPERTINO;15;Medio
ALICANTE/ALACANT;AGOST;INGLÉS B1 (PREINTERMEDIO) - 2 HORAS;VESPERTINO;16;Medio
ALICANTE/ALACANT;AGOST;FRANCÉS A1;OTROS;1;Bajo
ALICANTE/ALACANT;AGOST;FRANCÉS A1;VESPERTINO;14;Medio
ALICANTE/ALACANT;AGOST;CASTELLANO LE - A1 MÍNIMO;DIURNO;16;Medio
ALICANTE/ALACANT;ALBATERA;GES 1;VESPERTINO;21;Medio
ALICANTE/ALACANT;ALBATERA;PREP. PRUEBA GES - INTENSIVO;VESPERTINO;20;Medio
ALICANTE/ALACANT;ALBATERA;CASTELLANO LE - A1 MÍNIMO;DIURNO;11;Medio
ALICANTE/ALACANT;ALCOI/ALCOY;NIVEL 1;DIURNO;11;Medio
ALICANTE/ALACANT;ALCOI/ALCOY;NIVEL 1;VESPERTINO;5;Bajo
ALICANTE/ALACANT;ALCOI/ALCOY;NIVEL 2;DIURNO;15;Medio
ALICANTE/ALACANT;ALCOI/ALCOY;NIVEL 2;VESPERTINO;3;Bajo
ALICANTE/ALACANT;ALCOI/ALCOY;NIVEL 3;DIURNO;9;Bajo
ALICANTE/ALACANT;ALCOI/ALCOY;NIVEL 3;VESPERTINO;10;Bajo
ALICANTE/ALACANT;ALCOI/ALCOY;NIVEL 3;MATUTINO;1;Bajo
ALICANTE/ALACANT;ALCOI/ALCOY;GES 1;DIURNO;25;Alto
ALICANTE/ALACANT;ALCOI/ALCOY;GES 1;VESPERTINO;4;Bajo
ALICANTE/ALACANT;ALCOI/ALCOY;GES 2;OTROS;14;Medio
ALICANTE/ALACANT;ALCOI/ALCOY;GES 2;DIURNO;17;Medio
ALICANTE/ALACANT;ALCOI/ALCOY;GES 2;VESPERTINO;1;Bajo
ALICANTE/ALACANT;ALCOI/ALCOY;GES 2;NOCTURNO;16;Medio
ALICANTE/ALACANT;ALCOI/ALCOY;GES 1 - SEMIPRESENCIAL;DIURNO;7;Bajo
ALICANTE/ALACANT;ALCOI/ALCOY;GES 1 - SEMIPRESENCIAL;VESPERTINO;12;Medio
ALICANTE/ALACANT;ALCOI/ALCOY;GES 2 - SEMIPRESENCIAL;DIURNO;2;Bajo
ALICANTE/ALACANT;ALCOI/ALCOY;GES 2 - SEMIPRESENCIAL;VESPERTINO;25;Alto
ALICANTE/ALACANT;ALCOI/ALCOY;CERT. CONOC. VALENCIANO - B2;DIURNO;43;Alto
